id,meal_name,energy,protein,fat,cho,consistency,dish_type,color,main_ingredient_1,main_ingredient_2,meal_group
254,Kıymalı Ispanak (Yoğurtlu),299.68,24.19,14.32,16.44,0,1,,0,1,4
255,Kıymalı Kol Böreği,392.53,18.77,17,40.32,0,2,,3,0,11
256,Köylü Çorba,168.8,5.63,7.45,19.39,1,2,1,4,3,10
257,Kremalı Mantar Çorba,121.6,5.1,6.89,9.75,1,2,2,2,1,10
258,Mantarlı Tavuk,202.87,34.43,5.94,2.54,0,1,1,2,0,3
259,Mercimek Çorba,201.33,11.12,5.85,21.46,1,2,1,4,,10
260,Meyhane Pilavı,244.05,5.63,5.65,42.12,0,2,1,3,2,12
261,Mısırlı Pirinç Pilavı,295.72,4.61,9.59,47.3,0,2,2,3,,12
262,Muhallebi,399.44,7.86,7.31,74.55,0,3,2,1,,15
263,Napoliten Soslu Makarna,290.09,7.34,10.78,40.42,0,2,1,3,,12
264,Nohutlu Pirinç Pilavı,266.8,5.31,5.53,48.32,0,2,2,3,4,12
265,Orman Kebabı,389.28,37.53,16.89,21.07,0,1,1,0,2,17
266,Patates Oturtma,357.07,14.58,22.12,24.41,0,1,1,2,0,4
267,Patatesli Kol Böreği,351.18,9.23,13.19,47.75,0,2,,3,,11
268,Patlıcan Musakka,198.31,16.62,10.34,9.16,0,1,1,2,0,4
269,Peynirli Kol Böreği,359.01,11.04,19.6,34.12,0,2,,3,1,11
270,Peynirli Su Böreği,353.71,11.78,21.17,28.98,0,2,,3,1,11
271,Pilav Üstü Et Kavurma,360.8,27.08,13.85,31.58,0,1,,0,3,2
272,Püreli Et Rosto,374.55,35.24,17.57,18.27,0,1,,0,,2
273,Püreli Hasanpaşa Köfte,536.54,35.6,32.04,26.11,0,1,,0,,18
274,Püreli Mitit Köfte,403.49,31.37,22.39,18.76,0,1,,0,,18
275,Revani,434.93,9.98,4.87,86.07,0,3,,3,,15
276,Sade Pirinç Pilavı,291.93,4.45,9.53,46.67,0,2,2,3,,12
277,Salçalı Makarna,262.66,6.52,9.81,36.7,0,2,1,3,,12
278,Sebze Çorba Kış,111.48,2.21,6.33,10.75,1,2,2,2,,10
